          %pt            TT            TS            SS            SS2j            Tot
        1.778    3.66208E-02    4.08655E-03    2.05535E-03    3.81166E-06    4.27665E-02
        2.501    1.28941E-02    1.96608E-03    9.03614E-04    3.89669E-06    1.57677E-02
        3.470    2.95056E-03    6.62372E-04    3.17285E-04    2.40286E-06    3.93262E-03
        4.433    6.69904E-04    2.15048E-04    1.25680E-04    1.13139E-06    1.01176E-03
        5.463    1.38295E-04    6.58318E-05    5.45950E-05    4.68004E-07    2.59190E-04
        6.453    3.08306E-05    2.27444E-05    2.76413E-05    2.08476E-07    8.14247E-05
        7.473    6.68563E-06    8.40889E-06    1.49431E-05    9.76496E-08    3.01353E-05
        8.898    8.13711E-07    2.47942E-06    6.99637E-06    3.82827E-08    1.03278E-05
       10.900    4.44465E-08    5.87238E-07    2.72154E-06    1.23075E-08    3.36553E-06
       13.431    1.20936E-09    1.29617E-07    9.21328E-07    3.57088E-09    1.05573E-06
       19.076    4.80276E-13    6.83370E-09    8.22880E-08    3.04119E-10    8.94263E-08
