          %pt            TT            TS            SS            SS2j            Tot
        0.000    0.00000E+00    0.00000E+00    1.55556E-17    0.00000E+00    1.55556E-17
        0.250    9.15801E-02    1.86640E-03    2.62194E-03    4.06936E-08    9.60685E-02
        0.500    1.18688E-01    4.55786E-03    4.30607E-03    3.57518E-07    1.27552E-01
        0.750    1.11923E-01    6.24757E-03    4.65182E-03    1.05121E-06    1.22824E-01
        1.000    9.27343E-02    6.61796E-03    4.23439E-03    1.91504E-06    1.03589E-01
        1.250    7.15930E-02    6.08939E-03    3.51365E-03    2.70675E-06    8.11987E-02
        1.500    5.29273E-02    5.16987E-03    2.76878E-03    3.32968E-06    6.08693E-02
        1.750    3.80445E-02    4.19140E-03    2.12006E-03    3.77362E-06    4.43598E-02
        2.000    2.68393E-02    3.30752E-03    1.59649E-03    4.02439E-06    3.17473E-02
        2.250    1.86958E-02    2.56591E-03    1.19899E-03    4.06074E-06    2.24648E-02
        2.500    1.29114E-02    1.96793E-03    9.04216E-04    3.89718E-06    1.57875E-02
        2.750    8.86476E-03    1.49738E-03    6.85226E-04    3.58851E-06    1.10510E-02
        3.000    6.06268E-03    1.13267E-03    5.21731E-04    3.19664E-06    7.72028E-03
        3.250    4.13587E-03    8.52849E-04    3.99338E-04    2.77288E-06    5.39083E-03
        3.500    2.81710E-03    6.39724E-04    3.07592E-04    2.35354E-06    3.76677E-03
        3.750    1.91727E-03    4.78466E-04    2.38816E-04    1.96346E-06    2.63652E-03
        4.000    1.30449E-03    3.57146E-04    1.87115E-04    1.61618E-06    1.85036E-03
        4.250    8.87641E-04    2.66363E-04    1.48083E-04    1.31760E-06    1.30341E-03
        4.500    6.04231E-04    1.98719E-04    1.18385E-04    1.06731E-06    9.22403E-04
        4.750    4.11555E-04    1.48477E-04    9.55892E-05    8.61542E-07    6.56482E-04
        5.000    2.80530E-04    1.11227E-04    7.79107E-05    6.94601E-07    4.70362E-04
        5.250    1.91385E-04    8.36186E-05    6.40582E-05    5.60375E-07    3.39623E-04
        5.500    1.30693E-04    6.31389E-05    5.30951E-05    4.53019E-07    2.47380E-04
        5.750    8.93373E-05    4.79131E-05    4.43327E-05    3.67356E-07    1.81950E-04
        6.000    6.11322E-05    3.65596E-05    3.72655E-05    2.99031E-07    1.35256E-04
        6.250    4.18770E-05    2.80590E-05    3.15196E-05    2.44452E-07    1.01700E-04
        6.500    2.87180E-05    2.16666E-05    2.68066E-05    2.00756E-07    7.73919E-05
        6.750    1.97155E-05    1.68342E-05    2.29187E-05    1.65643E-07    5.96341E-05
        7.000    1.35500E-05    1.31624E-05    1.96836E-05    1.37329E-07    4.65334E-05
        7.250    9.32269E-06    1.03558E-05    1.69814E-05    1.14387E-07    3.67743E-05
        7.500    6.42114E-06    8.19907E-06    1.47057E-05    9.57244E-08    2.94216E-05
        7.750    4.42736E-06    6.53105E-06    1.27839E-05    8.04603E-08    2.38228E-05
        8.000    3.05586E-06    5.23424E-06    1.11487E-05    6.79298E-08    1.95068E-05
        8.250    2.11139E-06    4.21927E-06    9.75479E-06    5.75827E-08    1.61430E-05
        8.500    1.46030E-06    3.42102E-06    8.55820E-06    4.90119E-08    1.34885E-05
        8.750    1.01099E-06    2.78881E-06    7.52958E-06    4.18684E-08    1.13713E-05
        9.000    7.00604E-07    2.28598E-06    6.63988E-06    3.59007E-08    9.66237E-06
        9.250    4.85970E-07    1.88313E-06    5.86951E-06    3.08826E-08    8.26949E-06
        9.500    3.37404E-07    1.55926E-06    5.19867E-06    2.66574E-08    7.12199E-06
        9.750    2.34467E-07    1.29688E-06    4.61417E-06    2.30749E-08    6.16859E-06
       10.000    1.63079E-07    1.08380E-06    4.10214E-06    2.00366E-08    5.36906E-06
       10.250    1.13525E-07    9.09342E-07    3.65345E-06    1.74406E-08    4.69376E-06
       10.500    7.90946E-08    7.66301E-07    3.25849E-06    1.52245E-08    4.11911E-06
       10.750    5.51518E-08    6.48025E-07    2.91051E-06    1.33176E-08    3.62700E-06
       11.000    3.84876E-08    5.50184E-07    2.60297E-06    1.16801E-08    3.20332E-06
       11.250    2.68794E-08    4.68532E-07    2.33065E-06    1.02618E-08    2.83632E-06
       11.500    1.87867E-08    4.00435E-07    2.08917E-06    9.03733E-09    2.51743E-06
       11.750    1.31402E-08    3.43117E-07    1.87438E-06    7.97056E-09    2.23860E-06
       12.000    9.19746E-09    2.94958E-07    1.68333E-06    7.04505E-09    1.99453E-06
       12.250    6.44229E-09    2.54103E-07    1.51277E-06    6.23440E-09    1.77955E-06
       12.500    4.51556E-09    2.19546E-07    1.36059E-06    5.52805E-09    1.59018E-06
       12.750    3.16719E-09    1.90018E-07    1.22434E-06    4.90631E-09    1.42243E-06
       13.000    2.22290E-09    1.64893E-07    1.10242E-06    4.36248E-09    1.27390E-06
       13.250    1.56115E-09    1.43283E-07    9.93008E-07    3.88165E-09    1.14173E-06
       13.500    1.09708E-09    1.24798E-07    8.94849E-07    3.45963E-09    1.02420E-06
       13.750    7.71426E-10    1.08805E-07    8.06579E-07    3.08498E-09    9.19240E-07
       14.000    5.42761E-10    9.50600E-08    7.27217E-07    2.75518E-09    8.25575E-07
       14.250    3.82097E-10    8.31063E-08    6.55712E-07    2.46132E-09    7.41662E-07
       14.500    2.69143E-10    7.27905E-08    5.91316E-07    2.20194E-09    6.66578E-07
       14.750    1.89685E-10    6.37780E-08    5.33192E-07    1.97008E-09    5.99130E-07
