          %pt            TT            TS            SS            SS2j            Tot
        0.000    0.00000E+00    0.00000E+00    1.42857E-17    0.00000E+00    1.42857E-17
        0.250    2.04786E-02    2.05489E-04    8.52866E-07    4.30198E-09    2.06849E-02
        0.500    2.80553E-02    5.15521E-04    5.95229E-06    3.83311E-08    2.85768E-02
        0.750    2.80104E-02    7.28291E-04    1.30837E-05    1.13907E-07    2.87519E-02
        1.000    2.45550E-02    7.99448E-04    2.06263E-05    2.09923E-07    2.53753E-02
        1.250    2.00258E-02    7.64614E-04    2.76635E-05    2.99295E-07    2.08183E-02
        1.500    1.56063E-02    6.76710E-04    3.28367E-05    3.69839E-07    1.63162E-02
        1.750    1.17972E-02    5.74018E-04    3.45967E-05    4.20277E-07    1.24062E-02
        2.000    8.73073E-03    4.75776E-04    3.27780E-05    4.50311E-07    9.23973E-03
        2.250    6.36441E-03    3.88784E-04    2.92873E-05    4.58435E-07    6.78294E-03
        2.500    4.58883E-03    3.14350E-04    2.51445E-05    4.45442E-07    4.92877E-03
        2.750    3.28202E-03    2.51942E-04    2.08923E-05    4.16061E-07    3.55527E-03
        3.000    2.33333E-03    2.00354E-04    1.69107E-05    3.76464E-07    2.55097E-03
        3.250    1.65141E-03    1.58186E-04    1.34358E-05    3.32109E-07    1.82336E-03
        3.500    1.16482E-03    1.24036E-04    1.05566E-05    2.86994E-07    1.29970E-03
        3.750    8.19499E-04    9.66454E-05    8.26744E-06    2.43949E-07    9.24656E-04
        4.000    5.75428E-04    7.48753E-05    6.49051E-06    2.04637E-07    6.56998E-04
        4.250    4.03454E-04    5.77397E-05    5.13095E-06    1.69959E-07    4.66494E-04
        4.500    2.82564E-04    4.43670E-05    4.09368E-06    1.40121E-07    3.31165E-04
        4.750    1.97735E-04    3.40154E-05    3.30032E-06    1.14963E-07    2.35166E-04
        5.000    1.38291E-04    2.60534E-05    2.68911E-06    9.40457E-08    1.67128E-04
        5.250    9.66773E-05    1.99609E-05    2.21331E-06    7.68443E-08    1.18928E-04
        5.500    6.75673E-05    1.53149E-05    1.83954E-06    6.27978E-08    8.47846E-05
        5.750    4.72151E-05    1.17787E-05    1.54231E-06    5.13829E-08    6.05874E-05
        6.000    3.29911E-05    9.08880E-06    1.30374E-06    4.21306E-08    4.34258E-05
        6.250    2.30525E-05    7.04090E-06    1.11029E-06    3.46382E-08    3.12383E-05
        6.500    1.61091E-05    5.47919E-06    9.51823E-07    2.85698E-08    2.25687E-05
        6.750    1.12585E-05    4.28470E-06    8.21098E-07    2.36471E-08    1.63879E-05
        7.000    7.86970E-06    3.36814E-06    7.12114E-07    1.96465E-08    1.19696E-05
        7.250    5.50205E-06    2.66173E-06    6.20849E-07    1.63853E-08    8.80102E-06
        7.500    3.84761E-06    2.11505E-06    5.43621E-07    1.37195E-08    6.52000E-06
        7.750    2.69133E-06    1.68970E-06    4.78122E-07    1.15317E-08    4.87068E-06
        8.000    1.88304E-06    1.35728E-06    4.21972E-07    9.73079E-09    3.67203E-06
        8.250    1.31789E-06    1.09593E-06    3.73835E-07    8.24152E-09    2.79590E-06
        8.500    9.22635E-07    8.89565E-07    3.32108E-07    7.00636E-09    2.15131E-06
        8.750    6.46124E-07    7.25572E-07    2.95990E-07    5.97687E-09    1.67366E-06
        9.000    4.52628E-07    5.94742E-07    2.64397E-07    5.11663E-09    1.31688E-06
        9.250    3.17183E-07    4.89670E-07    2.36807E-07    4.39401E-09    1.04805E-06
        9.500    2.22342E-07    4.05015E-07    2.12492E-07    3.78583E-09    8.43635E-07
        9.750    1.55913E-07    3.36331E-07    1.91093E-07    3.27109E-09    6.86608E-07
       10.000    1.09368E-07    2.80478E-07    1.72117E-07    2.83493E-09    5.64798E-07
       10.250    7.67447E-08    2.34724E-07    1.55296E-07    2.46314E-09    4.69229E-07
       10.500    5.38712E-08    1.97197E-07    1.40309E-07    2.14612E-09    3.93523E-07
       10.750    3.78282E-08    1.66179E-07    1.26932E-07    1.87407E-09    3.32813E-07
       11.000    2.65721E-08    1.40535E-07    1.14974E-07    1.64076E-09    2.83722E-07
       11.250    1.86718E-08    1.19165E-07    1.04227E-07    1.43929E-09    2.43503E-07
       11.500    1.31249E-08    1.01370E-07    9.45995E-08    1.26558E-09    2.10360E-07
       11.750    9.22906E-09    8.64270E-08    8.58929E-08    1.11472E-09    1.82664E-07
       12.000    6.49184E-09    7.39024E-08    7.80762E-08    9.84014E-10    1.59454E-07
       12.250    4.56801E-09    6.33131E-08    7.09766E-08    8.69891E-10    1.39728E-07
       12.500    3.21540E-09    5.43850E-08    6.45837E-08    7.70580E-10    1.22955E-07
       12.750    2.26407E-09    4.67889E-08    5.87623E-08    6.83440E-10    1.08499E-07
       13.000    1.59474E-09    4.03507E-08    5.35030E-08    6.07307E-10    9.60558E-08
       13.250    1.12366E-09    3.48417E-08    4.87060E-08    5.40200E-10    8.52115E-08
       13.500    7.92002E-10    3.01507E-08    4.43584E-08    4.81359E-10    7.57824E-08
       13.750    5.58418E-10    2.61158E-08    4.03887E-08    4.29276E-10    6.74922E-08
       14.000    3.93853E-10    2.26659E-08    3.67801E-08    3.83460E-10    6.02234E-08
       14.250    2.77875E-10    1.96848E-08    3.34834E-08    3.42751E-10    5.37888E-08
       14.500    1.96112E-10    1.71265E-08    3.04787E-08    3.06835E-10    4.81082E-08
       14.750    1.38451E-10    1.49068E-08    2.77325E-08    2.74810E-10    4.30526E-08
