          %pt            TT            TS            SS            SS2j            Tot
        0.250    5.97260E-04    1.38472E-07    1.70906E-10    3.11761E-12    5.97398E-04
        0.500    8.69065E-04    7.22791E-07    2.82651E-09    5.39159E-11    8.69790E-04
        0.750    9.42864E-04    1.67135E-06    1.16401E-08    2.39642E-10    9.44548E-04
        1.000    9.04349E-04    2.71428E-06    2.56521E-08    5.84715E-10    9.07090E-04
        1.250    8.09327E-04    3.61401E-06    3.91997E-08    1.01366E-09    8.12981E-04
        1.500    6.92523E-04    4.26862E-06    4.74476E-08    1.42701E-09    6.96841E-04
        1.750    5.74235E-04    4.69051E-06    4.93942E-08    1.77296E-09    5.78976E-04
        2.000    4.65245E-04    4.93522E-06    4.60518E-08    2.05009E-09    4.70228E-04
        2.250    3.70349E-04    5.04853E-06    4.02023E-08    2.27512E-09    3.75440E-04
        2.500    2.90784E-04    5.05021E-06    3.41418E-08    2.45845E-09    2.95870E-04
        2.750    2.25840E-04    4.94165E-06    2.85065E-08    2.59766E-09    2.30812E-04
        3.000    1.73875E-04    4.72081E-06    2.34916E-08    2.68171E-09    1.78622E-04
        3.250    1.32922E-04    4.39418E-06    1.91900E-08    2.69846E-09    1.37338E-04
        3.500    1.01029E-04    3.98246E-06    1.55762E-08    2.64152E-09    1.05029E-04
        3.750    7.64222E-05    3.51999E-06    1.26202E-08    2.51505E-09    7.99573E-05
        4.000    5.75806E-05    3.04887E-06    1.02354E-08    2.33571E-09    6.06420E-05
        4.250    4.32411E-05    2.61149E-06    8.34247E-09    2.14575E-09    4.58631E-05
        4.500    3.23827E-05    2.19786E-06    6.84085E-09    1.92819E-09    3.45893E-05
        4.750    2.41941E-05    1.83896E-06    5.65524E-09    1.73079E-09    2.60405E-05
        5.000    1.80402E-05    1.51403E-06    4.70976E-09    1.52091E-09    1.95605E-05
        5.250    1.34288E-05    1.24089E-06    3.95517E-09    1.33602E-09    1.46750E-05
        5.500    9.98157E-06    1.00251E-06    3.34485E-09    1.15117E-09    1.09886E-05
        5.750    7.40995E-06    8.07674E-07    2.84935E-09    9.92488E-10    8.22147E-06
        6.000    5.49491E-06    6.42875E-07    2.44215E-09    8.41169E-10    6.14107E-06
        6.250    4.07095E-06    5.11220E-07    2.10580E-09    7.14762E-10    4.58499E-06
        6.500    3.01351E-06    4.02598E-07    1.82514E-09    5.99005E-10    3.41853E-06
        6.750    2.22914E-06    3.17394E-07    1.58986E-09    5.04217E-10    2.54863E-06
        7.000    1.64788E-06    2.48415E-07    1.39075E-09    4.19833E-10    1.89811E-06
        7.250    1.21751E-06    1.94966E-07    1.22189E-09    3.51941E-10    1.41405E-06
        7.500    8.99092E-07    1.52231E-07    1.07711E-09    2.92793E-10    1.05269E-06
        7.750    6.63659E-07    1.19355E-07    9.53052E-10    2.45581E-10    7.84213E-07
        8.000    4.89685E-07    9.32533E-08    8.45540E-10    2.04860E-10    5.83988E-07
        8.250    3.61190E-07    7.32203E-08    7.52566E-10    1.72522E-10    4.35336E-07
        8.500    2.66330E-07    5.73593E-08    6.71297E-10    1.44797E-10    3.24505E-07
        8.750    1.96328E-07    4.51724E-08    6.00437E-10    1.22703E-10    2.42223E-07
        9.000    1.44688E-07    3.55168E-08    5.38048E-10    1.03708E-10    1.80847E-07
        9.250    1.06607E-07    2.80762E-08    4.83278E-10    8.85269E-11    1.35255E-07
        9.500    7.85327E-08    2.21697E-08    4.34727E-10    7.54465E-11    1.01213E-07
        9.750    5.78406E-08    1.75961E-08    3.91870E-10    6.48931E-11    7.58935E-08
       10.000    4.25933E-08    1.39525E-08    3.53647E-10    5.57222E-11    5.69552E-08
       10.250    3.13605E-08    1.11185E-08    3.19729E-10    4.82839E-11    4.28470E-08
       10.500    2.30868E-08    8.85315E-09    2.89321E-10    4.17899E-11    3.22710E-08
       10.750    1.69937E-08    7.08168E-09    2.62238E-10    3.64645E-11    2.43741E-08
       11.000    1.25072E-08    5.66017E-09    2.37822E-10    3.17699E-11    1.84370E-08
       11.250    9.20420E-09    4.54356E-09    2.16010E-10    2.79001E-11    1.39917E-08
       11.500    6.77281E-09    3.64451E-09    1.96261E-10    2.44731E-11    1.06381E-08
       11.750    4.98324E-09    2.93494E-09    1.78567E-10    2.16183E-11    8.11836E-09
       12.000    3.66621E-09    2.36167E-09    1.62488E-10    1.90664E-11    6.20943E-09
       12.250    2.69706E-09    1.90742E-09    1.48047E-10    1.69318E-11    4.76945E-09
       12.500    1.98395E-09    1.53932E-09    1.34874E-10    1.50167E-11    3.67316E-09
       12.750    1.45929E-09    1.24651E-09    1.23027E-10    1.33994E-11    2.84223E-09
       13.000    1.07332E-09    1.00857E-09    1.12176E-10    1.19359E-11    2.20600E-09
       13.250    7.89384E-10    8.18655E-10    1.02416E-10    1.06964E-11    1.72115E-09
       13.500    5.80530E-10    6.63934E-10    9.34394E-11    9.57197E-12    1.34748E-09
       13.750    4.26914E-10    5.40060E-10    8.53548E-11    8.61137E-12    1.06094E-09
       14.000    3.13932E-10    4.38921E-10    7.79087E-11    7.73289E-12    8.38494E-10
       14.250    2.30840E-10    3.57712E-10    7.11842E-11    6.98120E-12    6.66718E-10
       14.500    1.69735E-10    2.91265E-10    6.49916E-11    6.29296E-12    5.32284E-10
       14.750    1.24800E-10    2.37784E-10    5.93799E-11    5.69925E-12    4.27663E-10
