          %pt            TT            TS            SS            SS2j            Tot
        0.176    4.99338E+01    1.30153E+00    4.99817E-01    7.44032E-04    5.17359E+01
        0.252    4.10996E+01    1.51238E+00    3.32265E-01    1.16463E-03    4.29454E+01
        0.349    3.20244E+01    1.60302E+00    2.30641E-01    1.67377E-03    3.38597E+01
        0.448    2.48148E+01    1.60545E+00    1.73623E-01    2.12432E-03    2.65960E+01
        0.548    1.92163E+01    1.52249E+00    1.37161E-01    2.45132E-03    2.08784E+01
        0.648    1.48745E+01    1.38833E+00    1.11576E-01    2.63927E-03    1.63771E+01
        0.747    1.15424E+01    1.23126E+00    9.27061E-02    2.69456E-03    1.28691E+01
        0.847    8.92748E+00    1.06592E+00    7.78912E-02    2.63876E-03    1.00739E+01
        0.947    6.90265E+00    9.06904E-01    6.60928E-02    2.49850E-03    7.87815E+00
        1.048    5.33698E+00    7.61676E-01    5.65264E-02    2.30293E-03    6.15748E+00
        1.148    4.12639E+00    6.33597E-01    4.86645E-02    2.07792E-03    4.81073E+00
        1.248    3.19335E+00    5.23798E-01    4.21636E-02    1.84475E-03    3.76115E+00
        1.348    2.47115E+00    4.30943E-01    3.67296E-02    1.61704E-03    2.94044E+00
        1.448    1.91141E+00    3.53303E-01    3.21590E-02    1.40368E-03    2.29827E+00
        1.548    1.47940E+00    2.89256E-01    2.83173E-02    1.21059E-03    1.79818E+00
        1.648    1.14462E+00    2.36541E-01    2.50658E-02    1.03894E-03    1.40726E+00
        1.748    8.86255E-01    1.93525E-01    2.23185E-02    8.89369E-04    1.10299E+00
        1.848    6.85261E-01    1.58233E-01    1.99728E-02    7.59414E-04    8.64226E-01
        1.949    5.29959E-01    1.29523E-01    1.79781E-02    6.48108E-04    6.78108E-01
        2.048    4.10242E-01    1.06243E-01    1.63321E-02    5.53508E-04    5.33371E-01
        2.148    3.17480E-01    8.72729E-02    1.48366E-02    4.72964E-04    4.20062E-01
        2.248    2.45945E-01    7.18827E-02    1.35459E-02    4.04848E-04    3.31778E-01
        2.348    1.90133E-01    5.92365E-02    1.24190E-02    3.46604E-04    2.62135E-01
        2.448    1.47129E-01    4.89614E-02    1.14338E-02    2.97405E-04    2.07822E-01
        2.548    1.13852E-01    4.05651E-02    1.05641E-02    2.55650E-04    1.65237E-01
        2.648    8.80949E-02    3.36905E-02    9.78973E-03    2.20165E-04    1.31795E-01
        2.748    6.81857E-02    2.80594E-02    9.09428E-03    1.90010E-04    1.05529E-01
        2.848    5.27449E-02    2.34221E-02    8.46300E-03    1.64262E-04    8.47942E-02
        2.948    4.08079E-02    1.96070E-02    7.88501E-03    1.42305E-04    6.84423E-02
        3.094    2.81268E-02    1.52251E-02    7.10509E-03    1.15939E-04    5.05729E-02
        3.294    1.68183E-02    1.08403E-02    6.16739E-03    8.80167E-05    3.39140E-02
        3.494    1.00665E-02    7.81305E-03    5.32865E-03    6.73954E-05    2.32756E-02
        3.694    6.02800E-03    5.69837E-03    4.57274E-03    5.20266E-05    1.63511E-02
        3.895    3.60376E-03    4.20035E-03    3.89468E-03    4.04441E-05    1.17392E-02
        4.181    1.73224E-03    2.77244E-03    3.06145E-03    2.86025E-05    7.59473E-03
        4.583    6.17677E-04    1.60534E-03    2.17157E-03    1.80158E-05    4.41260E-03
        4.985    2.20441E-04    9.68130E-04    1.55025E-03    1.16530E-05    2.75047E-03
        5.387    7.85237E-05    6.04663E-04    1.12417E-03    7.71337E-06    1.81507E-03
        5.788    2.81250E-05    3.90510E-04    8.32121E-04    5.22465E-06    1.25598E-03
