          %pt            TT            TS            SS            SS2j            Tot
        0.175    2.99310E+01    8.04766E-01    3.92940E-01    4.73939E-04    3.11292E+01
        0.251    2.46212E+01    9.34646E-01    2.60895E-01    7.42477E-04    2.58174E+01
        0.349    1.91788E+01    9.90439E-01    1.81103E-01    1.06716E-03    2.03514E+01
        0.448    1.48599E+01    9.91702E-01    1.36387E-01    1.35401E-03    1.59894E+01
        0.548    1.15056E+01    9.40221E-01    1.07783E-01    1.56200E-03    1.25551E+01
        0.648    8.90570E+00    8.57197E-01    8.77215E-02    1.68119E-03    9.85230E+00
        0.747    6.91095E+00    7.60092E-01    7.29260E-02    1.71585E-03    7.74568E+00
        0.847    5.34593E+00    6.57962E-01    6.13115E-02    1.67983E-03    6.06688E+00
        0.947    4.13329E+00    5.59700E-01    5.20538E-02    1.59006E-03    4.74663E+00
        1.048    3.19471E+00    4.69878E-01    4.45380E-02    1.46498E-03    3.71059E+00
        1.148    2.47050E+00    3.90847E-01    3.83721E-02    1.32152E-03    2.90104E+00
        1.248    1.91188E+00    3.23056E-01    3.32678E-02    1.17286E-03    2.26937E+00
        1.348    1.47942E+00    2.65725E-01    2.89987E-02    1.02773E-03    1.77517E+00
        1.448    1.14446E+00    2.17830E-01    2.54089E-02    8.91895E-04    1.38859E+00
        1.548    8.85610E-01    1.78275E-01    2.23863E-02    7.68856E-04    1.08704E+00
        1.648    6.85184E-01    1.45750E-01    1.98288E-02    6.59605E-04    8.51423E-01
        1.748    5.30416E-01    1.19198E-01    1.76656E-02    5.64372E-04    6.67844E-01
        1.848    4.10217E-01    9.74548E-02    1.58208E-02    4.81799E-04    5.23975E-01
        1.949    3.17298E-01    7.97613E-02    1.42506E-02    4.11068E-04    4.11721E-01
        2.048    2.45602E-01    6.54037E-02    1.29537E-02    3.50916E-04    3.24310E-01
        2.148    1.90092E-01    5.37157E-02    1.17743E-02    2.99759E-04    2.55882E-01
        2.248    1.47173E-01    4.42101E-02    1.07546E-02    2.56394E-04    2.02394E-01
        2.348    1.13831E-01    3.64344E-02    9.86559E-03    2.19482E-04    1.60350E-01
        2.448    8.80850E-02    3.01047E-02    9.08713E-03    1.88250E-04    1.27465E-01
        2.548    6.81519E-02    2.49307E-02    8.39938E-03    1.61737E-04    1.01644E-01
        2.648    5.27389E-02    2.06999E-02    7.78683E-03    1.39235E-04    8.13649E-02
        2.748    4.08274E-02    1.72358E-02    7.23635E-03    1.20125E-04    6.54197E-02
        2.848    3.15819E-02    1.43817E-02    6.73620E-03    1.03800E-04    5.28037E-02
        2.948    2.44351E-02    1.20346E-02    6.27792E-03    8.98856E-05    4.28375E-02
        3.094    1.68229E-02    9.33237E-03    5.65843E-03    7.31402E-05    3.18868E-02
        3.294    1.00702E-02    6.64362E-03    4.91376E-03    5.55043E-05    2.16831E-02
        3.495    6.02192E-03    4.78128E-03    4.24597E-03    4.24416E-05    1.50916E-02
        3.695    3.60567E-03    3.48375E-03    3.64372E-03    3.27308E-05    1.07659E-02
        3.895    2.15826E-03    2.56725E-03    3.10375E-03    2.54336E-05    7.85469E-03
        4.182    1.03336E-03    1.68871E-03    2.43767E-03    1.79334E-05    5.17767E-03
        4.584    3.69078E-04    9.76824E-04    1.72846E-03    1.12825E-05    3.08565E-03
        4.986    1.31635E-04    5.87863E-04    1.23250E-03    7.28307E-06    1.95928E-03
        5.387    4.70320E-05    3.67008E-04    8.93436E-04    4.81747E-06    1.31229E-03
        5.789    1.67976E-05    2.36373E-04    6.60388E-04    3.25469E-06    9.16813E-04
