          %pt            TT            TS            SS            SS2j            Tot
        0.000    1.67854E+01    0.00000E+00    3.03547E+04    0.00000E+00    3.03715E+04
        0.250    8.84174E+00    2.87461E-01    1.24011E-01    1.95499E-04    9.25340E+00
        0.500    4.65740E+00    2.98247E-01    5.71986E-02    3.88029E-04    5.01323E+00
        0.750    2.45329E+00    2.32207E-01    3.47372E-02    4.50216E-04    2.72069E+00
        1.000    1.29228E+00    1.56271E-01    2.31192E-02    3.99334E-04    1.47207E+00
        1.250    6.80710E-01    9.81902E-02    1.61277E-02    3.04746E-04    7.95332E-01
        1.500    3.58565E-01    5.97419E-02    1.16514E-02    2.14466E-04    4.30173E-01
        1.750    1.88875E-01    3.60446E-02    8.70519E-03    1.45458E-04    2.33770E-01
        2.000    9.94902E-02    2.17821E-02    6.73386E-03    9.75237E-05    1.28104E-01
        2.250    5.24066E-02    1.32864E-02    5.35383E-03    6.55143E-05    7.11124E-02
        2.500    2.76053E-02    8.20076E-03    4.37211E-03    4.43759E-05    4.02225E-02
        2.750    1.45411E-02    5.13943E-03    3.63901E-03    3.03955E-05    2.33500E-02
        3.000    7.65957E-03    3.27149E-03    3.05918E-03    2.10755E-05    1.40113E-02
        3.250    4.03470E-03    2.11940E-03    2.57280E-03    1.47987E-05    8.74170E-03
        3.500    2.12528E-03    1.39663E-03    2.14803E-03    1.05218E-05    5.68046E-03
        3.750    1.11950E-03    9.37402E-04    1.77212E-03    7.57346E-06    3.83659E-03
        4.000    5.89697E-04    6.40065E-04    1.44467E-03    5.51639E-06    2.67995E-03
        4.250    3.10624E-04    4.44978E-04    1.16762E-03    4.06454E-06    1.92729E-03
        4.500    1.63622E-04    3.14405E-04    9.40292E-04    3.02773E-06    1.42135E-03
        4.750    8.61881E-05    2.25881E-04    7.57958E-04    2.27914E-06    1.07231E-03
        5.000    4.53997E-05    1.64639E-04    6.13554E-04    1.73259E-06    8.25325E-04
        5.250    2.39144E-05    1.21782E-04    4.99826E-04    1.32945E-06    6.46851E-04
        5.500    1.25970E-05    9.11917E-05    4.10168E-04    1.02899E-06    5.14985E-04
        5.750    6.63547E-06    6.91513E-05    3.39210E-04    8.02980E-07    4.15800E-04
        6.000    3.49525E-06    5.29701E-05    2.82661E-04    6.31352E-07    3.39757E-04
        6.250    1.84113E-06    4.10084E-05    2.37270E-04    4.99952E-07    2.80619E-04
        6.500    9.69818E-07    3.20088E-05    2.00552E-04    3.98488E-07    2.33929E-04
        6.750    5.10853E-07    2.52083E-05    1.70586E-04    3.19580E-07    1.96625E-04
        7.000    2.69093E-07    1.99841E-05    1.45971E-04    2.57742E-07    1.66482E-04
        7.250    1.41745E-07    1.59628E-05    1.25584E-04    2.08983E-07    1.41898E-04
        7.500    7.46645E-08    1.28188E-05    1.08607E-04    1.70274E-07    1.21670E-04
        7.750    3.93297E-08    1.03608E-05    9.43576E-05    1.39380E-07    1.04897E-04
        8.000    2.07170E-08    8.41033E-06    8.23380E-05    1.14572E-07    9.08836E-05
        8.250    1.09127E-08    6.86542E-06    7.21342E-05    9.45617E-08    7.91051E-05
        8.500    5.74829E-09    5.62394E-06    6.34328E-05    7.83314E-08    6.91408E-05
        8.750    3.02792E-09    4.62965E-06    5.59732E-05    6.51178E-08    6.06710E-05
        9.000    1.59496E-09    3.82198E-06    4.95455E-05    5.43050E-08    5.34234E-05
        9.250    8.40151E-10    3.16897E-06    4.39888E-05    4.54295E-08    4.72041E-05
        9.500    4.42551E-10    2.63356E-06    3.91637E-05    3.81097E-08    4.18358E-05
        9.750    2.33115E-10    2.19714E-06    3.49564E-05    3.20578E-08    3.71858E-05
       10.000    1.22794E-10    1.83641E-06    3.12767E-05    2.70320E-08    3.31402E-05
       10.250    6.46817E-11    1.54030E-06    2.80463E-05    2.28499E-08    2.96095E-05
       10.500    3.40712E-11    1.29379E-06    2.52014E-05    1.93556E-08    2.65146E-05
       10.750    1.79471E-11    1.09020E-06    2.26908E-05    1.64314E-08    2.37975E-05
       11.000    9.45366E-12    9.19663E-07    2.04655E-05    1.39745E-08    2.13992E-05
       11.250    4.97973E-12    7.78054E-07    1.84924E-05    1.19081E-08    1.92824E-05
       11.500    2.62308E-12    6.58781E-07    1.67325E-05    1.01635E-08    1.74014E-05
       11.750    1.38171E-12    5.59276E-07    1.51660E-05    8.68944E-09    1.57340E-05
       12.000    7.27820E-13    4.75058E-07    1.37620E-05    7.43948E-09    1.42445E-05
       12.250    3.83381E-13    4.04508E-07    1.25062E-05    6.37917E-09    1.29171E-05
       12.500    2.01947E-13    3.44540E-07    1.13758E-05    5.47650E-09    1.17258E-05
       12.750    1.06376E-13    2.94122E-07    1.03626E-05    4.70804E-09    1.06614E-05
       13.000    5.60336E-14    2.51105E-07    9.44499E-06    4.05153E-09    9.70015E-06
       13.250    2.95158E-14    2.14823E-07    8.62147E-06    3.49085E-09    8.83978E-06
       13.500    1.55475E-14    1.83763E-07    7.87269E-06    3.01034E-09    8.05946E-06
       13.750    8.18968E-15    1.57494E-07    7.19784E-06    2.59881E-09    7.35793E-06
       14.000    4.31393E-15    1.34941E-07    6.58256E-06    2.24512E-09    6.71974E-06
       14.250    2.27237E-15    1.15820E-07    6.02722E-06    1.94145E-09    6.14498E-06
       14.500    1.19698E-15    9.93610E-08    5.51948E-06    1.67981E-09    5.62052E-06
       14.750    6.30509E-16    8.53786E-08    5.05932E-06    1.45467E-09    5.14615E-06
