          %pt            TT            TS            SS            SS2j            Tot
        0.000    8.06475E+01    0.00000E+00    1.15709E+05    0.00000E+00    1.15789E+05
        0.250    4.44715E+01    1.84620E+00    4.22755E-01    1.60857E-03    4.67421E+01
        0.500    2.45230E+01    1.97557E+00    1.91916E-01    3.26569E-03    2.66937E+01
        0.750    1.35227E+01    1.58510E+00    1.15696E-01    3.86352E-03    1.52274E+01
        1.000    7.45686E+00    1.10044E+00    7.65186E-02    3.49422E-03    8.63731E+00
        1.250    4.11195E+00    7.13830E-01    5.30178E-02    2.72128E-03    4.88152E+00
        1.500    2.26746E+00    4.48607E-01    3.80178E-02    1.95676E-03    2.75604E+00
        1.750    1.25035E+00    2.79587E-01    2.81794E-02    1.35779E-03    1.55947E+00
        2.000    6.89480E-01    1.74515E-01    2.16204E-02    9.32543E-04    8.86548E-01
        2.250    3.80201E-01    1.09912E-01    1.70850E-02    6.42441E-04    5.07841E-01
        2.500    2.09655E-01    7.00190E-02    1.38864E-02    4.46634E-04    2.94007E-01
        2.750    1.15610E-01    4.52605E-02    1.15300E-02    3.14177E-04    1.72715E-01
        3.000    6.37510E-02    2.96949E-02    9.69710E-03    2.23792E-04    1.03367E-01
        3.250    3.51543E-02    1.98089E-02    8.18933E-03    1.61445E-04    6.33140E-02
        3.500    1.93852E-02    1.34274E-02    6.89189E-03    1.17913E-04    3.98224E-02
        3.750    1.06896E-02    9.25823E-03    5.75527E-03    8.71534E-05    2.57903E-02
        4.000    5.89458E-03    6.48547E-03    4.76273E-03    6.51517E-05    1.72079E-02
        4.250    3.25046E-03    4.61834E-03    3.91908E-03    4.92323E-05    1.18371E-02
        4.500    1.79240E-03    3.33749E-03    3.21659E-03    3.75813E-05    8.38407E-03
        4.750    9.88387E-04    2.44832E-03    2.64567E-03    2.89625E-05    6.11134E-03
        5.000    5.45027E-04    1.81950E-03    2.18490E-03    2.25193E-05    4.57194E-03
        5.250    3.00545E-04    1.37007E-03    1.81672E-03    1.76557E-05    3.50498E-03
        5.500    1.65730E-04    1.04305E-03    1.51975E-03    1.39493E-05    2.74248E-03
        5.750    9.13887E-05    8.03042E-04    1.28152E-03    1.11004E-05    2.18705E-03
        6.000    5.03946E-05    6.23892E-04    1.08751E-03    8.89194E-06    1.77069E-03
        6.250    2.77891E-05    4.89306E-04    9.29411E-04    7.16694E-06    1.45367E-03
        6.500    1.53238E-05    3.86596E-04    7.99176E-04    5.80951E-06    1.20691E-03
        6.750    8.45002E-06    3.07882E-04    6.91166E-04    4.73424E-06    1.01223E-03
        7.000    4.65961E-06    2.46666E-04    6.01012E-04    3.87689E-06    8.56214E-04
        7.250    2.56945E-06    1.98954E-04    5.25233E-04    3.18936E-06    7.29945E-04
        7.500    1.41688E-06    1.61252E-04    4.60993E-04    2.63485E-06    6.26297E-04
        7.750    7.81310E-07    1.31448E-04    4.06309E-04    2.18539E-06    5.40723E-04
        8.000    4.30839E-07    1.07576E-04    3.59539E-04    1.81923E-06    4.69365E-04
        8.250    2.37578E-07    8.84776E-05    3.19249E-04    1.51964E-06    4.09484E-04
        8.500    1.31008E-07    7.30049E-05    2.84398E-04    1.27342E-06    3.58807E-04
        8.750    7.22419E-08    6.04991E-05    2.54132E-04    1.07031E-06    3.15774E-04
        9.000    3.98364E-08    5.02679E-05    2.27682E-04    9.02084E-07    2.78892E-04
        9.250    2.19671E-08    4.19261E-05    2.04540E-04    7.62302E-07    2.47251E-04
        9.500    1.21133E-08    3.50438E-05    1.84176E-04    6.45741E-07    2.19878E-04
        9.750    6.67966E-09    2.93902E-05    1.66219E-04    5.48266E-07    1.96164E-04
       10.000    3.68337E-09    2.46916E-05    1.50312E-04    4.66494E-07    1.75473E-04
       10.250    2.03113E-09    2.08066E-05    1.36193E-04    3.97723E-07    1.57400E-04
       10.500    1.12003E-09    1.75572E-05    1.23607E-04    3.39722E-07    1.41505E-04
       10.750    6.17618E-10    1.48553E-05    1.12370E-04    2.90698E-07    1.27517E-04
       11.000    3.40574E-10    1.25828E-05    1.02310E-04    2.49155E-07    1.15142E-04
       11.250    1.87803E-10    1.06838E-05    9.32774E-05    2.13884E-07    1.04175E-04
       11.500    1.03561E-10    9.07887E-06    8.51519E-05    1.83870E-07    9.44147E-05
       11.750    5.71065E-11    7.73186E-06    7.78247E-05    1.58285E-07    8.57149E-05
       12.000    3.14903E-11    6.58853E-06    7.12116E-05    1.36431E-07    7.79366E-05
       12.250    1.73647E-11    5.62533E-06    6.52214E-05    1.17736E-07    7.09645E-05
       12.500    9.57546E-12    4.80471E-06    5.97914E-05    1.01714E-07    6.46978E-05
       12.750    5.28021E-12    4.11108E-06    5.48600E-05    8.79651E-08    5.90591E-05
       13.000    2.91167E-12    3.51819E-06    5.03757E-05    7.61464E-08    5.39700E-05
       13.250    1.60559E-12    3.01561E-06    4.62838E-05    6.59758E-08    4.93654E-05
       13.500    8.85371E-13    2.58480E-06    4.25554E-05    5.72101E-08    4.51974E-05
       13.750    4.88221E-13    2.21870E-06    3.91463E-05    4.96479E-08    4.14146E-05
       14.000    2.69220E-13    1.90411E-06    3.60286E-05    4.31149E-08    3.79758E-05
       14.250    1.48457E-13    1.63620E-06    3.31745E-05    3.74665E-08    3.48482E-05
       14.500    8.18636E-14    1.40551E-06    3.05557E-05    3.25768E-08    3.19938E-05
       14.750    4.51421E-14    1.20869E-06    2.81549E-05    2.83410E-08    2.93919E-05
