          %pt           TTT           TTS           TSS           TSS2j           SSS           SSS2j           Tot
        0.358    2.66469E+00    6.77869E-02    1.94717E-03    1.17117E-04    1.18984E-02    2.96485E-06    2.74644E+00
        0.455    3.23479E+00    1.16156E-01    4.18266E-03    2.52140E-04    1.51981E-02    7.93189E-06    3.37059E+00
        0.553    3.55935E+00    1.64434E-01    7.14499E-03    4.32123E-04    1.81598E-02    1.62683E-05    3.74953E+00
        0.651    3.65983E+00    2.06426E-01    1.05315E-02    6.39288E-04    2.06583E-02    2.80923E-05    3.89811E+00
        0.751    3.58170E+00    2.38265E-01    1.39711E-02    8.51517E-04    2.26318E-02    4.28596E-05    3.85747E+00
        0.849    3.37999E+00    2.58173E-01    1.70729E-02    1.04504E-03    2.40545E-02    5.92510E-05    3.68039E+00
        0.949    3.09950E+00    2.66863E-01    1.96278E-02    1.20692E-03    2.49856E-02    7.61547E-05    3.41226E+00
        1.049    2.77955E+00    2.65634E-01    2.14616E-02    1.32595E-03    2.54699E-02    9.20931E-05    3.09353E+00
        1.149    2.44899E+00    2.56525E-01    2.25245E-02    1.39840E-03    2.55744E-02    1.05881E-04    2.75512E+00
        1.249    2.12534E+00    2.41607E-01    2.28560E-02    1.42600E-03    2.53689E-02    1.16767E-04    2.41672E+00
        1.349    1.82473E+00    2.23086E-01    2.25491E-02    1.41377E-03    2.49258E-02    1.24203E-04    2.09683E+00
        1.449    1.54895E+00    2.02356E-01    2.17229E-02    1.36867E-03    2.43003E-02    1.28241E-04    1.79883E+00
        1.549    1.30600E+00    1.81145E-01    2.05263E-02    1.29944E-03    2.35593E-02    1.29032E-04    1.53266E+00
        1.649    1.09349E+00    1.60258E-01    1.90791E-02    1.21341E-03    2.27434E-02    1.27047E-04    1.29691E+00
        1.749    9.09986E-01    1.40365E-01    1.74898E-02    1.11726E-03    2.18893E-02    1.22808E-04    1.09097E+00
        1.849    7.53625E-01    1.21943E-01    1.58513E-02    1.01684E-03    2.10277E-02    1.16880E-04    9.13580E-01
        1.949    6.21385E-01    1.05196E-01    1.42294E-02    9.16368E-04    2.01787E-02    1.09785E-04    7.62015E-01
