          %pt           TTT           TTS           TSS           TSS2j           SSS           SSS2j           Tot
        0.000    5.57829E-07    0.00000E+00    0.00000E+00    0.00000E+00    8.75058E-06    0.00000E+00    9.30841E-06
        0.060    1.72404E-01    2.75070E-04    3.33262E-06    2.41124E-07    1.78989E-03    2.37868E-09    1.74472E-01
        0.120    5.86715E-01    5.71157E-04    6.57816E-06    4.44095E-07    3.60357E-03    3.07633E-09    5.90897E-01
        0.180    1.12002E+00    6.87006E-03    1.08558E-04    6.49390E-06    5.58929E-03    9.03717E-08    1.13259E+00
        0.240    1.68363E+00    2.13095E-02    4.33252E-04    2.58796E-05    7.69341E-03    4.68015E-07    1.71309E+00
        0.300    2.21717E+00    4.27395E-02    1.05175E-03    6.30483E-05    9.84832E-03    1.37696E-06    2.27087E+00
        0.360    2.68291E+00    6.88235E-02    1.98700E-03    1.19599E-04    1.19889E-02    3.04018E-06    2.76584E+00
        0.420    3.06061E+00    9.79322E-02    3.25695E-03    1.96507E-04    1.40581E-02    5.71647E-06    3.17606E+00
        0.480    3.34290E+00    1.28963E-01    4.89091E-03    2.95069E-04    1.60095E-02    9.75325E-06    3.49307E+00
        0.540    3.53135E+00    1.58569E-01    6.74053E-03    4.07423E-04    1.78078E-02    1.50217E-05    3.71489E+00
        0.600    3.63330E+00    1.85784E-01    8.74929E-03    5.30048E-04    1.94281E-02    2.15601E-05    3.84782E+00
        0.660    3.65937E+00    2.09586E-01    1.08293E-02    6.57730E-04    2.08554E-02    2.92520E-05    3.90132E+00
        0.720    3.62161E+00    2.29469E-01    1.29074E-02    7.85956E-04    2.20827E-02    3.79615E-05    3.88689E+00
        0.780    3.53229E+00    2.45373E-01    1.49356E-02    9.11484E-04    2.31098E-02    4.75941E-05    3.81666E+00
        0.840    3.40302E+00    2.56782E-01    1.67999E-02    1.02790E-03    2.39419E-02    5.76597E-05    3.70163E+00
        0.900    3.24430E+00    2.63945E-01    1.84563E-02    1.13232E-03    2.45881E-02    6.78915E-05    3.55249E+00
        0.960    3.06529E+00    2.67147E-01    1.98640E-02    1.22214E-03    2.50603E-02    7.79673E-05    3.37866E+00
        1.020    2.87370E+00    2.66822E-01    2.10031E-02    1.29597E-03    2.53727E-02    8.76223E-05    3.18828E+00
        1.080    2.67589E+00    2.63507E-01    2.18756E-02    1.35360E-03    2.55402E-02    9.66828E-05    2.98827E+00
        1.140    2.47696E+00    2.57548E-01    2.24634E-02    1.39402E-03    2.55785E-02    1.04814E-04    2.78405E+00
        1.200    2.28085E+00    2.49454E-01    2.27819E-02    1.41796E-03    2.55033E-02    1.11877E-04    2.58012E+00
        1.260    2.09056E+00    2.39676E-01    2.28491E-02    1.42638E-03    2.53300E-02    1.17753E-04    2.37996E+00
        1.320    1.90827E+00    2.28643E-01    2.26910E-02    1.42073E-03    2.50733E-02    1.22394E-04    2.18622E+00
        1.380    1.73546E+00    2.16759E-01    2.23398E-02    1.40281E-03    2.47470E-02    1.25825E-04    2.00084E+00
        1.440    1.57310E+00    2.04311E-01    2.18170E-02    1.37398E-03    2.43639E-02    1.28009E-04    1.82509E+00
        1.500    1.42167E+00    1.91591E-01    2.11537E-02    1.33605E-03    2.39358E-02    1.29019E-04    1.65982E+00
        1.560    1.28136E+00    1.78833E-01    2.03778E-02    1.29071E-03    2.34732E-02    1.28934E-04    1.50546E+00
        1.620    1.15207E+00    1.66233E-01    1.95165E-02    1.23961E-03    2.29855E-02    1.27865E-04    1.36217E+00
        1.680    1.03351E+00    1.53950E-01    1.85961E-02    1.18435E-03    2.24808E-02    1.25944E-04    1.22985E+00
        1.740    9.25263E-01    1.42090E-01    1.76352E-02    1.12612E-03    2.19664E-02    1.23264E-04    1.10820E+00
        1.800    8.26803E-01    1.30741E-01    1.66532E-02    1.06614E-03    2.14481E-02    1.19952E-04    9.96831E-01
        1.860    7.37548E-01    1.19965E-01    1.56661E-02    1.00542E-03    2.09310E-02    1.16125E-04    8.95232E-01
        1.920    6.56884E-01    1.09801E-01    1.46875E-02    9.44852E-04    2.04191E-02    1.11896E-04    8.02849E-01
        1.980    5.84183E-01    1.00273E-01    1.37289E-02    8.85172E-04    1.99158E-02    1.07378E-04    7.19094E-01
        2.040    5.18821E-01    9.13826E-02    1.27978E-02    8.26900E-04    1.93950E-02    1.02649E-04    6.43326E-01
        2.100    4.60189E-01    8.31248E-02    1.19010E-02    7.70497E-04    1.88764E-02    9.77958E-05    5.74960E-01
        2.160    4.07703E-01    7.54852E-02    1.10432E-02    7.16296E-04    1.83652E-02    9.28874E-05    5.13405E-01
        2.220    3.60805E-01    6.84428E-02    1.02278E-02    6.64546E-04    1.78726E-02    8.79859E-05    4.58101E-01
        2.280    3.18973E-01    6.19725E-02    9.45701E-03    6.15422E-04    1.73862E-02    8.31459E-05    4.08488E-01
        2.340    2.81720E-01    5.60434E-02    8.73123E-03    5.68994E-04    1.69122E-02    7.84016E-05    3.64054E-01
