          %pt           TTT           TTS           TSS           TSS2j           SSS           SSS2j           Tot
        0.357    6.20333E-01    1.61758E-02    7.54458E-04    2.86708E-05    7.42884E-03    1.17915E-06    6.44722E-01
        0.454    7.54116E-01    2.77876E-02    1.62601E-03    6.19158E-05    9.52250E-03    3.16642E-06    7.93117E-01
        0.552    8.29961E-01    3.93404E-02    2.77791E-03    1.06101E-04    1.14009E-02    6.49393E-06    8.83593E-01
        0.651    8.53456E-01    4.93689E-02    4.09196E-03    1.56845E-04    1.29889E-02    1.12026E-05    9.20074E-01
        0.752    8.34951E-01    5.70350E-02    5.43939E-03    2.09328E-04    1.42607E-02    1.71448E-05    9.11913E-01
        0.850    7.87932E-01    6.17433E-02    6.63575E-03    2.56449E-04    1.51688E-02    2.36438E-05    8.71760E-01
        0.950    7.22159E-01    6.37943E-02    7.62631E-03    2.96079E-04    1.57728E-02    3.03847E-05    8.09679E-01
        1.049    6.48295E-01    6.34782E-02    8.32520E-03    3.24737E-04    1.60890E-02    3.66370E-05    7.36548E-01
        1.148    5.71278E-01    6.12902E-02    8.73295E-03    3.42309E-04    1.61686E-02    4.20891E-05    6.57854E-01
        1.248    4.96038E-01    5.77273E-02    8.85715E-03    3.48909E-04    1.60516E-02    4.63734E-05    5.79069E-01
        1.348    4.25843E-01    5.32895E-02    8.73426E-03    3.45784E-04    1.57819E-02    4.93000E-05    5.04044E-01
        1.449    3.61287E-01    4.83109E-02    8.40873E-03    3.34566E-04    1.53938E-02    5.08729E-05    4.33786E-01
        1.549    3.04628E-01    4.32371E-02    7.94099E-03    3.17493E-04    1.49321E-02    5.11482E-05    3.71107E-01
        1.649    2.55066E-01    3.82425E-02    7.37680E-03    2.96330E-04    1.44217E-02    5.03230E-05    3.15454E-01
        1.749    2.12276E-01    3.34883E-02    6.75836E-03    2.72723E-04    1.38859E-02    4.86060E-05    2.66730E-01
        1.849    1.75772E-01    2.90819E-02    6.12080E-03    2.48062E-04    1.33437E-02    4.62201E-05    2.24613E-01
        1.949    1.44910E-01    2.50785E-02    5.49048E-03    2.23418E-04    1.28086E-02    4.33761E-05    1.88554E-01
