          %pt           TTT           TTS           TSS           TSS2j           SSS           SSS2j           Tot
        0.000    3.37155E-07    0.00000E+00    0.00000E+00    0.00000E+00    7.87323E-06    0.00000E+00    8.21038E-06
        0.060    1.05353E-01    1.85765E-04    2.73579E-06    1.82504E-07    1.63176E-03    2.21453E-09    1.07174E-01
        0.120    3.62494E-01    3.84778E-04    5.31612E-06    3.26207E-07    3.31360E-03    2.72165E-09    3.66198E-01
        0.180    6.99633E-01    4.67160E-03    8.82580E-05    4.80820E-06    5.17779E-03    8.02663E-08    7.09575E-01
        0.240    1.06332E+00    1.46196E-02    3.52872E-04    1.92942E-05    7.17390E-03    4.15550E-07    1.08549E+00
        0.300    1.41576E+00    2.95690E-02    8.58991E-04    4.72948E-05    9.23748E-03    1.22349E-06    1.45548E+00
        0.360    1.73209E+00    4.80024E-02    1.62857E-03    9.02289E-05    1.13053E-02    2.70526E-06    1.79312E+00
        0.420    1.99777E+00    6.88535E-02    2.68065E-03    1.49064E-04    1.33208E-02    5.09715E-06    2.08277E+00
        0.480    2.20613E+00    9.14036E-02    4.04490E-03    2.25036E-04    1.52369E-02    8.71875E-06    2.31705E+00
        0.540    2.35625E+00    1.13285E-01    5.60214E-03    3.12363E-04    1.70166E-02    1.34638E-05    2.49248E+00
        0.600    2.45107E+00    1.33782E-01    7.30904E-03    4.08494E-04    1.86329E-02    1.93785E-05    2.61122E+00
        0.660    2.49593E+00    1.52118E-01    9.09470E-03    5.09516E-04    2.00682E-02    2.63699E-05    2.67774E+00
        0.720    2.49747E+00    1.67870E-01    1.08995E-02    6.11989E-04    2.13130E-02    3.43277E-05    2.69820E+00
        0.780    2.46279E+00    1.80938E-01    1.26838E-02    7.13408E-04    2.23647E-02    4.31780E-05    2.67953E+00
        0.840    2.39887E+00    1.90863E-01    1.43495E-02    8.08693E-04    2.32263E-02    5.24846E-05    2.62818E+00
        0.900    2.31226E+00    1.97759E-01    1.58572E-02    8.95478E-04    2.39050E-02    6.20106E-05    2.55074E+00
        0.960    2.20881E+00    2.01765E-01    1.71690E-02    9.71563E-04    2.44112E-02    7.14648E-05    2.45320E+00
        1.020    2.09364E+00    2.03144E-01    1.82643E-02    1.03566E-03    2.47576E-02    8.06052E-05    2.34092E+00
        1.080    1.97107E+00    2.02245E-01    1.91411E-02    1.08744E-03    2.49584E-02    8.92698E-05    2.21859E+00
        1.140    1.84469E+00    1.99277E-01    1.97790E-02    1.12587E-03    2.50287E-02    9.71434E-05    2.09000E+00
        1.200    1.71741E+00    1.94587E-01    2.01872E-02    1.15133E-03    2.49837E-02    1.04090E-04    1.95843E+00
        1.260    1.59153E+00    1.88487E-01    2.03772E-02    1.16441E-03    2.48384E-02    1.09987E-04    1.82650E+00
        1.320    1.46880E+00    1.81284E-01    2.03680E-02    1.16607E-03    2.46074E-02    1.14779E-04    1.69634E+00
        1.380    1.35055E+00    1.73275E-01    2.01848E-02    1.15765E-03    2.43047E-02    1.18477E-04    1.56959E+00
        1.440    1.23772E+00    1.64670E-01    1.98435E-02    1.14008E-03    2.39430E-02    1.21032E-04    1.44744E+00
        1.500    1.13094E+00    1.55693E-01    1.93690E-02    1.11472E-03    2.35342E-02    1.22498E-04    1.33077E+00
        1.560    1.03059E+00    1.46527E-01    1.87844E-02    1.08286E-03    2.30891E-02    1.22938E-04    1.22019E+00
        1.620    9.36836E-01    1.37331E-01    1.81126E-02    1.04578E-03    2.26172E-02    1.22444E-04    1.11606E+00
        1.680    8.49715E-01    1.28238E-01    1.73762E-02    1.00475E-03    2.21268E-02    1.21131E-04    1.01858E+00
        1.740    7.69123E-01    1.19341E-01    1.65913E-02    9.60722E-04    2.16251E-02    1.19077E-04    9.27760E-01
        1.800    6.94872E-01    1.10721E-01    1.57753E-02    9.14682E-04    2.11184E-02    1.16395E-04    8.43518E-01
        1.860    6.26709E-01    1.02439E-01    1.49427E-02    8.67475E-04    2.06118E-02    1.13189E-04    7.65683E-01
        1.920    5.64335E-01    9.45381E-02    1.41062E-02    8.19842E-04    2.01095E-02    1.09564E-04    6.94018E-01
        1.980    5.07422E-01    8.70513E-02    1.32770E-02    7.72429E-04    1.96149E-02    1.05622E-04    6.28243E-01
        2.040    4.55628E-01    7.99910E-02    1.24624E-02    7.25695E-04    1.91138E-02    1.01438E-04    5.68022E-01
        2.100    4.08603E-01    7.33655E-02    1.16695E-02    6.80058E-04    1.86070E-02    9.70923E-05    5.13023E-01
        2.160    3.66000E-01    6.71741E-02    1.09034E-02    6.35837E-04    1.81169E-02    9.26515E-05    4.62923E-01
        2.220    3.27478E-01    6.14104E-02    1.01683E-02    5.93278E-04    1.76372E-02    8.81764E-05    4.17376E-01
        2.280    2.92710E-01    5.60639E-02    9.46694E-03    5.52573E-04    1.71684E-02    8.37207E-05    3.76045E-01
        2.340    2.61380E-01    5.11176E-02    8.80079E-03    5.13818E-04    1.67156E-02    7.93199E-05    3.38607E-01
